GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pomodoroapp,com.zemoso.pomodoroapp.service,UserServiceImpl,30,12,2,0,8,5,4,2,3,2
pomodoroapp,com.zemoso.pomodoroapp.service,MyUserDetailsService,33,7,0,0,8,2,1,2,1,2
pomodoroapp,com.zemoso.pomodoroapp,PomodoroappApplication,5,7,0,0,2,2,1,2,1,2
pomodoroapp,com.zemoso.pomodoroapp.entity,User.UserBuilder,19,44,0,0,0,1,2,7,2,7
pomodoroapp,com.zemoso.pomodoroapp.entity,MyUserPrincipal,36,0,0,0,12,0,9,0,9,0
pomodoroapp,com.zemoso.pomodoroapp.entity,User,42,72,0,0,7,13,11,8,11,8
pomodoroapp,com.zemoso.pomodoroapp.entity,Task,56,45,0,0,9,5,9,9,9,9
pomodoroapp,com.zemoso.pomodoroapp.entity,Pomodoro,58,26,0,0,8,3,9,7,9,7
pomodoroapp,com.zemoso.pomodoroapp.entity,Pomodoro.PomodoroBuilder,63,0,0,0,1,0,9,0,9,0
pomodoroapp,com.zemoso.pomodoroapp.exception,AllExceptionHandler,12,3,0,0,2,1,2,1,2,1
pomodoroapp,com.zemoso.pomodoroapp.exception,UserNotFoundException,7,0,0,0,4,0,2,0,2,0
pomodoroapp,com.zemoso.pomodoroapp.exception,TaskNotFoundException,7,0,0,0,4,0,2,0,2,0
pomodoroapp,com.zemoso.pomodoroapp.dto,PomodoroDto,59,0,0,0,9,0,14,0,14,0
pomodoroapp,com.zemoso.pomodoroapp.dto,TaskDto,64,0,0,0,10,0,16,0,16,0
pomodoroapp,com.zemoso.pomodoroapp.dto,UserDto,42,0,0,0,8,0,12,0,12,0
pomodoroapp,com.zemoso.pomodoroapp.dto,TaskPomodoroDto,76,39,20,2,1,3,16,4,5,4
pomodoroapp,com.zemoso.pomodoroapp.aop,LoggingAspect,20,16,0,0,10,5,5,3,5,3
pomodoroapp,com.zemoso.pomodoroapp.security,CustomSecurityConfig,0,73,0,0,0,25,0,6,0,6
pomodoroapp,com.zemoso.pomodoroapp.mapservice,MapperService,47,7,0,0,13,2,2,2,2,2
pomodoroapp,com.zemoso.pomodoroapp.controller,UserController,51,6,0,0,15,3,6,1,6,1
pomodoroapp,com.zemoso.pomodoroapp.controller,DemoController,2,3,0,0,1,1,1,1,1,1
pomodoroapp,com.zemoso.pomodoroapp.controller,PomoController,273,7,14,0,62,2,15,2,8,2
